sample,model,variable,coef,se,t,p,stars,ci_lo,ci_hi,n,r2,adj_r2
P2_2014_2018,M2_quadratic,fdi10,0.1843,0.1542,1.195,0.232,,-0.1179,0.4865,968,0.044,0.039
P2_2014_2018,M3_cubic,const,21.4149,0.3846,55.679,0.0,***,20.661,22.1687,968,0.045,0.039
P2_2014_2018,M3_cubic,fsts_c,0.6621,0.4237,1.563,0.1181,,-0.1683,1.4925,968,0.045,0.039
P2_2014_2018,M3_cubic,fsts_c2,0.4536,2.8215,0.161,0.8723,,-5.0765,5.9836,968,0.045,0.039
P2_2014_2018,M3_cubic,fsts_c3,-3.142,2.963,-1.06,0.289,,-8.9495,2.6654,968,0.045,0.039
P2_2014_2018,M3_cubic,log_emp,-0.0751,0.0325,-2.312,0.0208,**,-0.1387,-0.0114,968,0.045,0.039
P2_2014_2018,M3_cubic,firm_age,-0.4976,0.1571,-3.167,0.0015,***,-0.8056,-0.1897,968,0.045,0.039
P2_2014_2018,M3_cubic,fdi10,0.1899,0.1544,1.23,0.2186,,-0.1127,0.4925,968,0.045,0.039
P2_2014_2018,M4_TCI,const,21.4115,0.401,53.397,0.0,***,20.6256,22.1975,963,0.05,0.041
P2_2014_2018,M4_TCI,fsts_c,0.649,0.4487,1.447,0.148,,-0.2304,1.5284,963,0.05,0.041
P2_2014_2018,M4_TCI,fsts_c2,0.7875,2.8906,0.272,0.7853,,-4.8779,6.453,963,0.05,0.041
P2_2014_2018,M4_TCI,fsts_c3,-3.5396,2.9993,-1.18,0.2379,,-9.4182,2.3389,963,0.05,0.041
P2_2014_2018,M4_TCI,tci_z,0.069,0.07,0.986,0.3241,,-0.0682,0.2062,963,0.05,0.041
P2_2014_2018,M4_TCI,fsts_x_tci,-0.2337,0.3035,-0.77,0.4413,,-0.8287,0.3612,963,0.05,0.041
P2_2014_2018,M4_TCI,fsts2_x_tci,0.3823,0.517,0.739,0.4597,,-0.631,1.3955,963,0.05,0.041
P2_2014_2018,M4_TCI,log_emp,-0.0982,0.035,-2.809,0.005,***,-0.1668,-0.0297,963,0.05,0.041
P2_2014_2018,M4_TCI,firm_age,-0.458,0.1625,-2.818,0.0048,***,-0.7766,-0.1395,963,0.05,0.041
P2_2014_2018,M4_TCI,fdi10,0.1618,0.1547,1.046,0.2956,,-0.1414,0.4649,963,0.05,0.041
P2_2014_2018,M5_DAI,const,21.4953,0.3959,54.295,0.0,***,20.7193,22.2712,967,0.049,0.04
P2_2014_2018,M5_DAI,fsts_c,0.7186,0.4473,1.606,0.1082,,-0.1581,1.5954,967,0.049,0.04
P2_2014_2018,M5_DAI,fsts_c2,0.4401,2.877,0.153,0.8784,,-5.1987,6.079,967,0.049,0.04
P2_2014_2018,M5_DAI,fsts_c3,-3.1854,3.0225,-1.054,0.2919,,-9.1095,2.7387,967,0.049,0.04
P2_2014_2018,M5_DAI,dai_z,0.0038,0.1007,0.038,0.9698,,-0.1935,0.2011,967,0.049,0.04
P2_2014_2018,M5_DAI,fsts_x_dai,-0.4427,0.4496,-0.985,0.3248,,-1.324,0.4386,967,0.049,0.04
P2_2014_2018,M5_DAI,fsts2_x_dai,0.6401,0.767,0.835,0.4039,,-0.8631,2.1434,967,0.049,0.04
P2_2014_2018,M5_DAI,log_emp,-0.0906,0.0334,-2.715,0.0066,***,-0.156,-0.0252,967,0.049,0.04
P2_2014_2018,M5_DAI,firm_age,-0.5061,0.1589,-3.185,0.0014,***,-0.8175,-0.1947,967,0.049,0.04
P2_2014_2018,M5_DAI,fdi10,0.2108,0.1551,1.359,0.174,,-0.0932,0.5148,967,0.049,0.04
P2_2014_2018,M6_TCI_DAI,const,21.4003,0.3944,54.257,0.0,***,20.6272,22.1733,962,0.0504,0.0425
