sample,model,variable,coef,se,t,p,stars,ci_lo,ci_hi,n,r2,adj_r2
VNM_pooled,M1_linear,const,20.3845,0.2245,90.792,0.0,***,19.9445,20.8245,2978,0.1286,0.1268
VNM_pooled,M1_linear,fsts_c,-0.5499,0.0812,-6.772,0.0,***,-0.7091,-0.3908,2978,0.1286,0.1268
VNM_pooled,M1_linear,log_emp,-0.0334,0.0194,-1.723,0.085,*,-0.0714,0.0046,2978,0.1286,0.1268
VNM_pooled,M1_linear,firm_age,-0.4583,0.0973,-4.71,0.0,***,-0.649,-0.2676,2978,0.1286,0.1268
VNM_pooled,M1_linear,fdi10,0.2922,0.0787,3.712,0.0002,***,0.1379,0.4465,2978,0.1286,0.1268
VNM_pooled,M2_quadratic,const,20.6508,0.2287,90.295,0.0,***,20.2025,21.099,2978,0.1347,0.1326
VNM_pooled,M2_quadratic,fsts_c,0.4535,0.2177,2.083,0.0372,**,0.0269,0.8802,2978,0.1347,0.1326
VNM_pooled,M2_quadratic,fsts_c2,-1.8031,0.3603,-5.005,0.0,***,-2.5093,-1.097,2978,0.1347,0.1326
VNM_pooled,M2_quadratic,log_emp,-0.0424,0.0193,-2.194,0.0282,**,-0.0803,-0.0045,2978,0.1347,0.1326
VNM_pooled,M2_quadratic,firm_age,-0.4408,0.097,-4.542,0.0,***,-0.631,-0.2506,2978,0.1347,0.1326
VNM_pooled,M2_quadratic,fdi10,0.2899,0.0781,3.713,0.0002,***,0.1369,0.443,2978,0.1347,0.1326
VNM_pooled,M3_cubic,const,20.5192,0.2424,84.655,0.0,***,20.0442,20.9943,2978,0.1352,0.1329
VNM_pooled,M3_cubic,fsts_c,0.4133,0.2178,1.898,0.0577,*,-0.0135,0.8402,2978,0.1352,0.1329
VNM_pooled,M3_cubic,fsts_c2,0.148,1.3218,0.112,0.9109,,-2.4427,2.7386,2978,0.1352,0.1329
VNM_pooled,M3_cubic,fsts_c3,-2.254,1.4826,-1.52,0.1284,,-5.1598,0.6519,2978,0.1352,0.1329
VNM_pooled,M3_cubic,log_emp,-0.041,0.0193,-2.124,0.0337,**,-0.0789,-0.0032,2978,0.1352,0.1329
VNM_pooled,M3_cubic,firm_age,-0.4413,0.097,-4.55,0.0,***,-0.6314,-0.2512,2978,0.1352,0.1329
