country,year,sales,employees,ln_lp,fsts,fsts_sq,foreign_tech,product_innov,rd_spending,quality_cert,website,epayment_pct,epay_supp_pct,ln_empl,firm_age,foreign_dummy
SGP,2023,500000.0,15.0,10.41431317630212,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,30.0,2.70805025100708,20.0,1.0
SGP,2023,110000.0,7.0,9.66232549571924,0.2,0.04000000000000001,0.0,0.0,0.0,0.0,1.0,80.0,0.0,1.9459102153778076,23.0,0.0
SGP,2023,6000000.0,96.0,11.042921835724492,0.0,0.0,0.0,1.0,0.0,0.0,1.0,70.0,70.0,4.564348220825195,20.0,0.0
SGP,2023,300000.0,7.0,10.665627604583024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,70.0,1.9459102153778076,20.0,0.0
SGP,2023,500000.0,7.0,11.176453228349015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,70.0,1.9459102153778076,19.0,0.0
SGP,2023,400000.0,20.0,9.903487552536127,0.0,0.0,0.0,1.0,0.0,0.0,1.0,70.0,70.0,2.995732307434082,18.0,0.0
SGP,2023,760727.0,7.0,11.596119684924489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,90.0,1.9459102153778076,16.0,1.0
SGP,2023,900000.0,10.0,11.407564949312402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,80.0,2.3025851249694824,16.0,0.0
SGP,2023,430000.0,7.0,11.025630338614432,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,20.0,1.9459102153778076,16.0,0.0
SGP,2023,60000.0,5.0,9.392661928770137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,70.0,1.6094379425048828,15.0,0.0
SGP,2023,800000.0,20.0,10.596634733096073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2.995732307434082,15.0,0.0
SGP,2023,500000.0,8.0,11.042921835724492,0.0,0.0,0.0,0.0,0.0,0.0,1.0,70.0,80.0,2.079441547393799,14.0,0.0
SGP,2023,200000.0,8.0,10.126631103850338,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,100.0,2.079441547393799,17.0,1.0
SGP,2023,750000.0,16.0,10.755239763272712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,100.0,2.7725887298583984,13.0,1.0
SGP,2023,80000.0,5.0,9.680344001221918,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,0.0,1.6094379425048828,13.0,0.0
SGP,2023,1000000.0,20.0,10.819778284410283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,90.0,2.995732307434082,12.0,0.0
SGP,2023,800000.0,48.0,9.721165995742174,0.0,0.0,0.0,1.0,0.0,0.0,0.0,50.0,0.0,3.8712010383605957,12.0,0.0
SGP,2023,600000.0,8.0,11.225243392518447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,2.079441547393799,10.0,0.0
SGP,2023,500000.0,5.0,11.512925464970229,0.0,0.0,0.0,0.0,0.0,0.0,1.0,80.0,70.0,1.6094379425048828,11.0,0.0
SGP,2023,500000.0,12.0,10.637456727616328,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,2.4849066734313965,13.0,0.0
SGP,2023,1200000.0,6.0,12.206072645530174,0.0,0.0,0.0,0.0,1.0,0.0,1.0,100.0,100.0,1.7917594909667969,11.0,0.0
SGP,2023,200000.0,5.0,10.596634733096073,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100.0,100.0,1.6094379425048828,11.0,0.0
SGP,2023,800000.0,5.0,11.982929094215963,0.0,0.0,0.0,0.0,0.0,0.0,1.0,35.0,10.0,1.6094379425048828,11.0,1.0
SGP,2023,160000.0,5.0,10.373491181781864,0.0,0.0,0.0,0.0,0.0,0.0,1.0,90.0,10.0,1.6094379425048828,11.0,0.0
SGP,2023,400000.0,5.0,11.289781913656018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,1.6094379425048828,7.0,1.0
