sample,model,variable,beta,se,p,n,r2
CHN_2024,M1_line_credit_FSTSsq,const,12.415265621158802,0.08233825627593659,0.0,1881,0.07815333184422535
CHN_2024,M1_line_credit_FSTSsq,FSTS,1.6997690097254436,0.5499993828357341,0.001998247997470235,1881,0.07815333184422535
CHN_2024,M1_line_credit_FSTSsq,FSTS_sq,-1.8104603876481973,0.697831380119096,0.009475354526615933,1881,0.07815333184422535
CHN_2024,M1_line_credit_FSTSsq,line_credit_z,0.1953673215390176,0.028797698828579823,1.1678844155539902e-11,1881,0.07815333184422535
CHN_2024,M1_line_credit_FSTSsq,FSTSsq_x_line_credit,-0.24322889121150176,0.2546983676258529,0.3395936802319822,1881,0.07815333184422535
CHN_2024,M1_line_credit_FSTSsq,lnemp,0.1076179184227314,0.02257884034388572,1.8762366106074096e-06,1881,0.07815333184422535
CHN_2024,M1_line_credit_FSTSsq,firm_age,0.012955969872721674,0.002996134629369227,1.5306678587757182e-05,1881,0.07815333184422535
CHN_2024,M1_line_credit_FSTSsq,foreign_dummy,0.2870249095402029,0.12036699680308392,0.01709856181332371,1881,0.07815333184422535
CHN_2024,M3_LA_idx_FSTSsq,const,12.396345710686134,0.08330662916282405,0.0,1924,0.06369758392516844
CHN_2024,M3_LA_idx_FSTSsq,FSTS,1.5496766691911406,0.585448967047664,0.008121212043140947,1924,0.06369758392516844
CHN_2024,M3_LA_idx_FSTSsq,FSTS_sq,-1.6774859127565784,0.7402694753768272,0.023448465306869688,1924,0.06369758392516844
CHN_2024,M3_LA_idx_FSTSsq,LA_idx_z,0.150156770623246,0.03113268453462791,1.4132767115802485e-06,1924,0.06369758392516844
CHN_2024,M3_LA_idx_FSTSsq,FSTSsq_x_LA_idx,-0.35245233720803426,0.23627410266087573,0.135775302397403,1924,0.06369758392516844
CHN_2024,M3_LA_idx_FSTSsq,lnemp,0.1089357156641792,0.023256296192872433,2.8113967361587224e-06,1924,0.06369758392516844
CHN_2024,M3_LA_idx_FSTSsq,firm_age,0.013440611538276588,0.00301041336887276,8.017866003172293e-06,1924,0.06369758392516844
CHN_2024,M3_LA_idx_FSTSsq,foreign_dummy,0.23543064027202498,0.12182696513838037,0.053297791544586824,1924,0.06369758392516844
CHN_2024,M1_k3a_FSTSsq,const,13.183423911567417,0.15680049776285862,0.0,1873,0.07469232810184445
CHN_2024,M1_k3a_FSTSsq,FSTS,1.3613680500443586,0.5726351545422205,0.017436388821921334,1873,0.07469232810184445
CHN_2024,M1_k3a_FSTSsq,FSTS_sq,-1.92909553503735,0.8314946494945896,0.020339059126124617,1873,0.07469232810184445
CHN_2024,M1_k3a_FSTSsq,k3a,-0.009248198321312844,0.0014731114410187001,3.4294888828555564e-10,1873,0.07469232810184445
CHN_2024,M1_k3a_FSTSsq,FSTSsq_x_k3a,0.005269830138066522,0.005670144580808897,0.352682032047812,1873,0.07469232810184445
CHN_2024,M1_k3a_FSTSsq,lnemp,0.11533931541398279,0.023316841862176346,7.551718950850459e-07,1873,0.07469232810184445
CHN_2024,M1_k3a_FSTSsq,firm_age,0.012555238863533892,0.0030268499299143316,3.354575571195903e-05,1873,0.07469232810184445
CHN_2024,M1_k3a_FSTSsq,foreign_dummy,0.30259553725229626,0.12152826195943613,0.01277721855497602,1873,0.07469232810184445
CHN_2024,M1_k3bc_FSTSsq,const,12.270219165156686,0.08470550660306214,0.0,1872,0.07883625613825129
CHN_2024,M1_k3bc_FSTSsq,FSTS,1.3162744489317113,0.5853322430956894,0.024527474386817367,1872,0.07883625613825129
CHN_2024,M1_k3bc_FSTSsq,FSTS_sq,-1.3542405865323215,0.7132133932165219,0.05759243784552716,1872,0.07883625613825129
CHN_2024,M1_k3bc_FSTSsq,k3bc,0.012110895832719756,0.001664227454413596,3.408504577450444e-13,1872,0.07883625613825129
CHN_2024,M1_k3bc_FSTSsq,FSTSsq_x_k3bc,-0.004575960832143525,0.010908716138723499,0.6748672045643145,1872,0.07883625613825129
CHN_2024,M1_k3bc_FSTSsq,lnemp,0.1126141489769088,0.02342057745043746,1.5218715331427106e-06,1872,0.07883625613825129
CHN_2024,M1_k3bc_FSTSsq,firm_age,0.012274510419845168,0.0030509435719673285,5.7416359894356816e-05,1872,0.07883625613825129
CHN_2024,M1_k3bc_FSTSsq,foreign_dummy,0.3182634497984389,0.12189013314028525,0.009025989325734132,1872,0.07883625613825129
CHN_2024,M1_k3f_FSTSsq,const,12.357769219615736,0.08410902344689565,0.0,1883,0.05402643522373052
CHN_2024,M1_k3f_FSTSsq,FSTS,1.4879226726503714,0.5823325222448699,0.010615475749495423,1883,0.05402643522373052
CHN_2024,M1_k3f_FSTSsq,FSTS_sq,-1.5844721029851268,0.7271692373106879,0.02933469893656588,1883,0.05402643522373052
CHN_2024,M1_k3f_FSTSsq,k3f,0.00402226220056633,0.0035492349639544055,0.2570984383752297,1883,0.05402643522373052
CHN_2024,M1_k3f_FSTSsq,FSTSsq_x_k3f,-0.002986102558525952,0.006782320866607784,0.659736211272214,1883,0.05402643522373052
CHN_2024,M1_k3f_FSTSsq,lnemp,0.12000091740378446,0.023367559416054333,2.8159884061025575e-07,1883,0.05402643522373052
CHN_2024,M1_k3f_FSTSsq,firm_age,0.012665444790200096,0.003066875478351837,3.6314978582572903e-05,1883,0.05402643522373052
CHN_2024,M1_k3f_FSTSsq,foreign_dummy,0.26050339982286247,0.12187280264443602,0.03255715627270175,1883,0.05402643522373052
CHN_2024,M1_k30_FSTSsq,const,12.423961076257111,0.09075767161202314,0.0,1620,0.054781315202751646
CHN_2024,M1_k30_FSTSsq,FSTS,1.5764560614853265,0.6198931794810512,0.010987087869091432,1620,0.054781315202751646
CHN_2024,M1_k30_FSTSsq,FSTS_sq,-1.860407248123435,0.7592661135886469,0.014274898847774055,1620,0.054781315202751646
CHN_2024,M1_k30_FSTSsq,k30,0.048623714847287086,0.05281327260806634,0.3572215652175401,1620,0.054781315202751646
CHN_2024,M1_k30_FSTSsq,FSTSsq_x_k30,1.6394885649062796,0.4865159533684602,0.00075207552596862,1620,0.054781315202751646
CHN_2024,M1_k30_FSTSsq,lnemp,0.11099050064233718,0.024936491315527224,8.550043434917128e-06,1620,0.054781315202751646
