sample,model,term,b,se,p,ci_lo,ci_hi,n,r2
VNM2009,M8,DAI_z,0.1306,0.0974,0.18,-0.0603,0.3215,989,0.1578
VNM2009,M8,FSTSc_DAIz,-0.1065,0.4458,0.8112,-0.9802,0.7672,989,0.1578
VNM2009,M8,FSTSc2_DAIz,-0.0937,0.7311,0.898,-1.5266,1.3392,989,0.1578
VNM2009,M8,lnEmp,-0.1685,0.0369,0.0,-0.2408,-0.0961,989,0.1578
VNM2009,M8,FirmAge,0.0077,0.0035,0.0268,0.0009,0.0145,989,0.1578
VNM2009,M8,ForeignOwned,0.4398,0.1236,0.0004,0.1976,0.6821,989,0.1578
VNM2015,M0,lnEmp,-0.0314,0.0338,0.3528,-0.0977,0.0349,958,0.0528
VNM2015,M0,FirmAge,0.0039,0.0051,0.4463,-0.0061,0.0138,958,0.0528
VNM2015,M0,ForeignOwned,0.2244,0.1562,0.1508,-0.0818,0.5306,958,0.0528
VNM2015,M1,FSTSc,-0.2247,0.1681,0.1813,-0.5542,0.1047,958,0.0543
VNM2015,M1,lnEmp,-0.0167,0.0358,0.6405,-0.0869,0.0534,958,0.0543
VNM2015,M1,FirmAge,0.0034,0.0052,0.5152,-0.0068,0.0135,958,0.0543
VNM2015,M1,ForeignOwned,0.2569,0.1538,0.0949,-0.0446,0.5584,958,0.0543
VNM2015,M2,FSTSc,1.1507,0.5295,0.0298,0.1129,2.1886,958,0.0607
VNM2015,M2,FSTSc2,-2.0818,0.7333,0.0045,-3.5191,-0.6445,958,0.0607
VNM2015,M2,lnEmp,-0.0263,0.036,0.4656,-0.0968,0.0443,958,0.0607
VNM2015,M2,FirmAge,0.0022,0.0049,0.6599,-0.0075,0.0119,958,0.0607
VNM2015,M2,ForeignOwned,0.2254,0.1551,0.1461,-0.0785,0.5293,958,0.0607
VNM2015,M3,FSTSc,1.0393,0.5776,0.072,-0.0928,2.1714,958,0.0662
VNM2015,M3,FSTSc2,-1.8651,0.8042,0.0204,-3.4414,-0.2889,958,0.0662
VNM2015,M3,TCI_z,0.1323,0.0627,0.0348,0.0094,0.2551,958,0.0662
VNM2015,M3,FSTSc_TCIz,-0.0513,0.4025,0.8985,-0.8402,0.7376,958,0.0662
VNM2015,M3,FSTSc2_TCIz,-0.0997,0.5757,0.8625,-1.228,1.0286,958,0.0662
VNM2015,M3,lnEmp,-0.0563,0.0379,0.1369,-0.1305,0.0179,958,0.0662
VNM2015,M3,FirmAge,0.0015,0.0049,0.7568,-0.008,0.0111,958,0.0662
VNM2015,M3,ForeignOwned,0.1657,0.1511,0.2728,-0.1305,0.4619,958,0.0662
VNM2015,M4,FSTSc,1.1034,0.5819,0.0579,-0.0371,2.2439,958,0.0625
VNM2015,M4,FSTSc2,-2.0071,0.799,0.012,-3.5732,-0.441,958,0.0625
VNM2015,M4,DAI_z,0.0624,0.09,0.4879,-0.114,0.2388,958,0.0625
VNM2015,M4,FSTSc_DAIz,0.209,0.62,0.736,-1.0061,1.4241,958,0.0625
VNM2015,M4,FSTSc2_DAIz,-0.6505,0.8845,0.462,-2.3841,1.083,958,0.0625
VNM2015,M4,lnEmp,-0.029,0.0366,0.4289,-0.1007,0.0428,958,0.0625
VNM2015,M4,FirmAge,0.0019,0.005,0.6993,-0.0078,0.0117,958,0.0625
VNM2015,M4,ForeignOwned,0.2234,0.1536,0.1458,-0.0777,0.5246,958,0.0625
VNM2015,M5,FSTSc,1.0409,0.5283,0.0488,0.0054,2.0765,958,0.0656
VNM2015,M5,FSTSc2,-1.9317,0.7319,0.0083,-3.3661,-0.4972,958,0.0656
VNM2015,M5,TCI_z,0.1166,0.0482,0.0155,0.0222,0.2111,958,0.0656
VNM2015,M5,lnEmp,-0.0538,0.0375,0.1519,-0.1273,0.0198,958,0.0656
VNM2015,M5,FirmAge,0.0014,0.0048,0.7717,-0.0081,0.0109,958,0.0656
VNM2015,M5,ForeignOwned,0.1567,0.1526,0.3043,-0.1423,0.4558,958,0.0656
VNM2015,M6,FSTSc,1.1398,0.5335,0.0326,0.0941,2.1855,958,0.0608
VNM2015,M6,FSTSc2,-2.0649,0.7399,0.0053,-3.5151,-0.6147,958,0.0608
VNM2015,M6,DAI_z,0.0147,0.0515,0.776,-0.0863,0.1156,958,0.0608
VNM2015,M6,lnEmp,-0.0295,0.0366,0.4202,-0.1014,0.0423,958,0.0608
VNM2015,M6,FirmAge,0.0021,0.005,0.67,-0.0076,0.0118,958,0.0608
VNM2015,M6,ForeignOwned,0.2258,0.1548,0.1447,-0.0777,0.5293,958,0.0608
VNM2015,M7,FSTSc,1.0528,0.5292,0.0466,0.0156,2.0899,958,0.0659
VNM2015,M7,FSTSc2,-1.9523,0.7329,0.0077,-3.3888,-0.5158,958,0.0659
VNM2015,M7,TCI_z,0.1293,0.0535,0.0157,0.0244,0.2341,958,0.0659
VNM2015,M7,DAI_z,-0.0319,0.0568,0.5744,-0.1433,0.0795,958,0.0659
VNM2015,M7,lnEmp,-0.0497,0.0375,0.1857,-0.1232,0.0239,958,0.0659
VNM2015,M7,FirmAge,0.0015,0.0048,0.7629,-0.008,0.0109,958,0.0659
VNM2015,M7,ForeignOwned,0.1484,0.153,0.3323,-0.1516,0.4483,958,0.0659
VNM2015,M8,FSTSc,1.0588,0.5726,0.0644,-0.0635,2.1811,958,0.0686
VNM2015,M8,FSTSc2,-1.9521,0.7849,0.0129,-3.4905,-0.4138,958,0.0686
VNM2015,M8,TCI_z,0.1431,0.0541,0.0082,0.037,0.2492,958,0.0686
VNM2015,M8,DAI_z,-0.0038,0.0953,0.9679,-0.1907,0.183,958,0.0686
VNM2015,M8,FSTSc_DAIz,0.0307,0.6221,0.9607,-1.1886,1.25,958,0.0686
VNM2015,M8,FSTSc2_DAIz,-0.5013,0.8857,0.5714,-2.2372,1.2347,958,0.0686
VNM2015,M8,lnEmp,-0.0507,0.0375,0.1763,-0.1241,0.0228,958,0.0686
VNM2015,M8,FirmAge,0.0013,0.0048,0.7893,-0.0081,0.0107,958,0.0686
VNM2015,M8,ForeignOwned,0.1384,0.1521,0.363,-0.1598,0.4365,958,0.0686
VNM2023,M0,lnEmp,0.0889,0.0345,0.01,0.0213,0.1565,1013,0.1402
VNM2023,M0,FirmAge,0.0091,0.0061,0.1356,-0.0028,0.021,1013,0.1402
VNM2023,M0,ForeignOwned,0.2389,0.1172,0.0415,0.0091,0.4687,1013,0.1402
VNM2023,M1,FSTSc,-0.1808,0.1519,0.2339,-0.4785,0.1169,1013,0.1412
VNM2023,M1,lnEmp,0.1006,0.0361,0.0053,0.0298,0.1713,1013,0.1412
VNM2023,M1,FirmAge,0.0087,0.0061,0.1513,-0.0032,0.0207,1013,0.1412
VNM2023,M1,ForeignOwned,0.2676,0.1196,0.0253,0.0332,0.5021,1013,0.1412
VNM2023,M2,FSTSc,0.9622,0.4664,0.0391,0.0481,1.8763,1013,0.144
VNM2023,M2,FSTSc2,-1.6862,0.6338,0.0078,-2.9284,-0.444,1013,0.144
VNM2023,M2,lnEmp,0.0938,0.0363,0.0097,0.0227,0.1649,1013,0.144
VNM2023,M2,FirmAge,0.0083,0.006,0.1692,-0.0035,0.0202,1013,0.144
VNM2023,M2,ForeignOwned,0.2787,0.1187,0.0189,0.0461,0.5114,1013,0.144
VNM2023,M3,FSTSc,1.0429,0.5869,0.0756,-0.1075,2.1933,1013,0.1549
VNM2023,M3,FSTSc2,-1.6612,0.7968,0.0371,-3.2228,-0.0995,1013,0.1549
VNM2023,M3,TCI_z,0.1468,0.0543,0.0069,0.0404,0.2533,1013,0.1549
VNM2023,M3,FSTSc_TCIz,-0.5343,0.3261,0.1013,-1.1735,0.1048,1013,0.1549
VNM2023,M3,FSTSc2_TCIz,0.4113,0.4509,0.3618,-0.4726,1.2951,1013,0.1549
VNM2023,M3,lnEmp,0.0635,0.0366,0.0828,-0.0082,0.1352,1013,0.1549
VNM2023,M3,FirmAge,0.0084,0.0061,0.1632,-0.0034,0.0203,1013,0.1549
VNM2023,M3,ForeignOwned,0.2011,0.1183,0.0891,-0.0307,0.4328,1013,0.1549
VNM2023,M4,FSTSc,1.0196,0.5493,0.0634,-0.0571,2.0964,1013,0.1546
VNM2023,M4,FSTSc2,-1.6633,0.7443,0.0254,-3.1223,-0.2044,1013,0.1546
VNM2023,M4,DAI_z,0.11,0.0601,0.0671,-0.0078,0.2278,1013,0.1546
VNM2023,M4,FSTSc_DAIz,-0.5075,0.3537,0.1513,-1.2008,0.1857,1013,0.1546
VNM2023,M4,FSTSc2_DAIz,0.3801,0.513,0.4587,-0.6253,1.3856,1013,0.1546
VNM2023,M4,lnEmp,0.0653,0.0375,0.0812,-0.0081,0.1388,1013,0.1546
VNM2023,M4,FirmAge,0.0081,0.0061,0.1841,-0.0038,0.02,1013,0.1546
VNM2023,M4,ForeignOwned,0.2636,0.1166,0.0239,0.0349,0.4922,1013,0.1546
VNM2023,M5,FSTSc,0.7125,0.4781,0.1362,-0.2246,1.6495,1013,0.1504
VNM2023,M5,FSTSc2,-1.3532,0.6485,0.0369,-2.6242,-0.0821,1013,0.1504
VNM2023,M5,TCI_z,0.1396,0.0449,0.0019,0.0516,0.2276,1013,0.1504
VNM2023,M5,lnEmp,0.0706,0.0365,0.0531,-0.0009,0.1421,1013,0.1504
VNM2023,M5,FirmAge,0.0079,0.006,0.1916,-0.0039,0.0196,1013,0.1504
VNM2023,M5,ForeignOwned,0.2001,0.1188,0.0922,-0.0328,0.4329,1013,0.1504
VNM2023,M6,FSTSc,0.6959,0.4779,0.1454,-0.2408,1.6326,1013,0.1512
VNM2023,M6,FSTSc2,-1.3117,0.6517,0.0441,-2.5891,-0.0344,1013,0.1512
VNM2023,M6,DAI_z,0.1371,0.0486,0.0048,0.0418,0.2324,1013,0.1512
VNM2023,M6,lnEmp,0.0663,0.0374,0.0767,-0.0071,0.1397,1013,0.1512
VNM2023,M6,FirmAge,0.008,0.0061,0.1863,-0.0039,0.0199,1013,0.1512
VNM2023,M6,ForeignOwned,0.2519,0.1173,0.0318,0.0219,0.4818,1013,0.1512
VNM2023,M7,FSTSc,0.6083,0.4827,0.2076,-0.3379,1.5544,1013,0.1533
VNM2023,M7,FSTSc2,-1.2003,0.6564,0.0674,-2.4867,0.0862,1013,0.1533
VNM2023,M7,TCI_z,0.0908,0.051,0.0749,-0.0091,0.1907,1013,0.1533
VNM2023,M7,DAI_z,0.0986,0.0549,0.0724,-0.009,0.2062,1013,0.1533
VNM2023,M7,lnEmp,0.0589,0.0373,0.1139,-0.0141,0.1319,1013,0.1533
VNM2023,M7,FirmAge,0.0078,0.006,0.1969,-0.004,0.0196,1013,0.1533
VNM2023,M7,ForeignOwned,0.2082,0.1187,0.0795,-0.0245,0.441,1013,0.1533
VNM2023,M8,FSTSc,0.9961,0.5509,0.0706,-0.0836,2.0759,1013,0.1579
VNM2023,M8,FSTSc2,-1.629,0.7457,0.0289,-3.0907,-0.1674,1013,0.1579
VNM2023,M8,TCI_z,0.1151,0.0514,0.0251,0.0144,0.2158,1013,0.1579
VNM2023,M8,DAI_z,0.0505,0.0665,0.4472,-0.0798,0.1808,1013,0.1579
VNM2023,M8,FSTSc_DAIz,-0.6374,0.3563,0.0736,-1.3359,0.061,1013,0.1579
VNM2023,M8,FSTSc2_DAIz,0.5091,0.5142,0.3222,-0.4989,1.517,1013,0.1579
VNM2023,M8,lnEmp,0.0557,0.0373,0.1352,-0.0174,0.1287,1013,0.1579
VNM2023,M8,FirmAge,0.0078,0.0061,0.1957,-0.004,0.0197,1013,0.1579
VNM2023,M8,ForeignOwned,0.2108,0.1179,0.0738,-0.0203,0.4418,1013,0.1579
VNMpooled,M0,lnEmp,-0.0277,0.0197,0.1593,-0.0662,0.0109,2960,0.148
VNMpooled,M0,FirmAge,0.0107,0.0027,0.0001,0.0055,0.0159,2960,0.148
VNMpooled,M0,ForeignOwned,0.3284,0.0794,0.0,0.1729,0.484,2960,0.148
VNMpooled,M1,FSTSc,-0.2465,0.0966,0.0107,-0.4359,-0.0571,2960,0.15
VNMpooled,M1,lnEmp,-0.0101,0.0211,0.6339,-0.0514,0.0313,2960,0.15
VNMpooled,M1,FirmAge,0.0101,0.0027,0.0002,0.0048,0.0153,2960,0.15
VNMpooled,M1,ForeignOwned,0.3707,0.0808,0.0,0.2124,0.5291,2960,0.15
VNMpooled,M2,FSTSc,0.9809,0.284,0.0006,0.4242,1.5376,2960,0.1548
VNMpooled,M2,FSTSc2,-1.8977,0.407,0.0,-2.6954,-1.1,2960,0.1548
VNMpooled,M2,lnEmp,-0.0174,0.0211,0.4102,-0.0588,0.024,2960,0.1548
VNMpooled,M2,FirmAge,0.0092,0.0026,0.0005,0.004,0.0143,2960,0.1548
VNMpooled,M2,ForeignOwned,0.3615,0.0803,0.0,0.2041,0.519,2960,0.1548
VNMpooled,M3,FSTSc,0.9953,0.3099,0.0013,0.3879,1.6027,2960,0.1705
VNMpooled,M3,FSTSc2,-1.843,0.4478,0.0,-2.7207,-0.9652,2960,0.1705
VNMpooled,M3,TCI_z,0.1586,0.0377,0.0,0.0846,0.2325,2960,0.1705
VNMpooled,M3,FSTSc_TCIz,-0.5679,0.1992,0.0044,-0.9583,-0.1775,2960,0.1705
VNMpooled,M3,FSTSc2_TCIz,0.6159,0.2963,0.0377,0.0351,1.1967,2960,0.1705
VNMpooled,M3,lnEmp,-0.0621,0.0218,0.0043,-0.1048,-0.0194,2960,0.1705
VNMpooled,M3,FirmAge,0.0078,0.0026,0.0027,0.0027,0.0129,2960,0.1705
VNMpooled,M3,ForeignOwned,0.2765,0.0785,0.0004,0.1227,0.4304,2960,0.1705
VNMpooled,M4,FSTSc,0.9047,0.3043,0.0029,0.3083,1.5011,2960,0.1616
VNMpooled,M4,FSTSc2,-1.7568,0.4385,0.0001,-2.6163,-0.8974,2960,0.1616
VNMpooled,M4,DAI_z,0.1163,0.0474,0.0141,0.0234,0.2093,2960,0.1616
VNMpooled,M4,FSTSc_DAIz,-0.1751,0.2588,0.4986,-0.6823,0.3321,2960,0.1616
VNMpooled,M4,FSTSc2_DAIz,0.1213,0.3959,0.7592,-0.6546,0.8972,2960,0.1616
VNMpooled,M4,lnEmp,-0.0441,0.0217,0.0423,-0.0866,-0.0015,2960,0.1616
VNMpooled,M4,FirmAge,0.0087,0.0026,0.001,0.0035,0.0138,2960,0.1616
VNMpooled,M4,ForeignOwned,0.3506,0.0788,0.0,0.1962,0.505,2960,0.1616
VNMpooled,M5,FSTSc,0.7557,0.2848,0.008,0.1975,1.3138,2960,0.168
VNMpooled,M5,FSTSc2,-1.5448,0.408,0.0002,-2.3445,-0.745,2960,0.168
VNMpooled,M5,TCI_z,0.1963,0.0277,0.0,0.1421,0.2505,2960,0.168
VNMpooled,M5,lnEmp,-0.0589,0.0217,0.0066,-0.1014,-0.0164,2960,0.168
VNMpooled,M5,FirmAge,0.0075,0.0026,0.0036,0.0024,0.0126,2960,0.168
VNMpooled,M5,ForeignOwned,0.2654,0.0789,0.0008,0.1109,0.42,2960,0.168
VNMpooled,M6,FSTSc,0.8589,0.2846,0.0025,0.301,1.4167,2960,0.1612
VNMpooled,M6,FSTSc2,-1.7017,0.4086,0.0,-2.5027,-0.9008,2960,0.1612
VNMpooled,M6,DAI_z,0.1284,0.0278,0.0,0.0739,0.1829,2960,0.1612
VNMpooled,M6,lnEmp,-0.0441,0.0217,0.042,-0.0867,-0.0016,2960,0.1612
